ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,NL_NAME_2,VARNAME_2,TYPE_2,ENGTYPE_2,GBR_adm2_ID,Latitude,Longitude
239,"GBR","United Kingdom",1,"England",56,"London","","","London Borough (city)","London Borough (city)","76",51.5113,-0.0841
239,"GBR","United Kingdom",1,"England",57,"Luton","","","Unitary Authority","Unitary Authority","77",51.8745,-0.4080
239,"GBR","United Kingdom",1,"England",58,"Manchester","","","Metropolitan Borough (city)","Metropolitan Borough (city)","78",53.5159,-2.2813
239,"GBR","United Kingdom",1,"England",59,"Medway","","Medway Towns","Unitary Authority","Unitary Authority","79",51.4079,0.5759
239,"GBR","United Kingdom",1,"England",60,"Merseyside","","","Metropolitan County","Metropolitan County","80",53.4669,-2.8739
239,"GBR","United Kingdom",1,"England",61,"Merton","","","London Borough","London Borough","81",51.4074,-0.1877
239,"GBR","United Kingdom",1,"England",62,"Middlesbrough","","","Unitary Authority","Unitary Authority","82",54.5317,-1.2487
239,"GBR","United Kingdom",1,"England",63,"Milton Keynes","","","Unitary Authority","Unitary Authority","83",52.0696,-0.7242
239,"GBR","United Kingdom",1,"England",64,"Newham","","","London Borough","London Borough","84",51.5267,0.0424
239,"GBR","United Kingdom",1,"England",65,"Norfolk","","","Administrative County","Administrative County","85",52.6672,0.9587
239,"GBR","United Kingdom",1,"England",66,"North East Lincolnshire","","","Unitary Authority","Unitary Authority","86",53.5387,-0.1298
239,"GBR","United Kingdom",1,"England",67,"North Lincolnshire","","","Unitary Authority","Unitary Authority","87",53.5880,-0.5826
239,"GBR","United Kingdom",1,"England",68,"North Somerset","","North West Somerset","Unitary Authority","Unitary Authority","88",51.3866,-2.7999
239,"GBR","United Kingdom",1,"England",69,"North Yorkshire","","","Administrative County","Administrative County","89",54.1904,-1.4135
239,"GBR","United Kingdom",1,"England",70,"Northamptonshire","","","Administrative County","Administrative County","90",52.3003,-0.8528
239,"GBR","United Kingdom",1,"England",71,"Northumberland","","","Administrative County","Administrative County","91",55.2368,-2.0641
239,"GBR","United Kingdom",1,"England",72,"Nottingham","","","Unitary Authority (city)","Unitary Authority (city)","92",52.9354,-1.1696
239,"GBR","United Kingdom",1,"England",73,"Nottinghamshire","","","Administrative County","Administrative County","93",53.1195,-0.9952
239,"GBR","United Kingdom",1,"England",74,"Oxfordshire","","","Administrative County","Administrative County","94",51.7601,-1.3119
239,"GBR","United Kingdom",1,"England",75,"Peterborough","","","Unitary Authority","Unitary Authority","95",52.5963,-0.2733
239,"GBR","United Kingdom",1,"England",76,"Plymouth","","","Unitary Authority (city)","Unitary Authority (city)","96",50.3952,-4.1247
239,"GBR","United Kingdom",1,"England",77,"Poole","","","Unitary Authority","Unitary Authority","97",50.7337,-1.9669
239,"GBR","United Kingdom",1,"England",78,"Portsmouth","","","Unitary Authority (city)","Unitary Authority (city)","98",50.8150,-1.0351
239,"GBR","United Kingdom",1,"England",79,"Redbridge","","","London Borough","London Borough","99",51.5841,0.0821
239,"GBR","United Kingdom",1,"England",80,"Redcar and Cleveland","","","Unitary Authority","Unitary Authority","100",54.5521,-1.0327
239,"GBR","United Kingdom",1,"England",81,"Richmond upon Thames","","","London Borough","London Borough","101",51.4372,-0.3057
239,"GBR","United Kingdom",1,"England",82,"Rutland","","","Unitary Authority","Unitary Authority","102",52.6445,-0.6520
239,"GBR","United Kingdom",1,"England",83,"Shropshire","","Salop","Administrative County","Administrative County","103",52.6292,-2.7245
239,"GBR","United Kingdom",1,"England",84,"Somerset","","","Administrative County","Administrative County","104",51.0995,-2.9298
239,"GBR","United Kingdom",1,"England",85,"South Gloucestershire","","","Unitary Authority","Unitary Authority","105",51.5341,-2.4521
239,"GBR","United Kingdom",1,"England",86,"South Yorkshire","","","Metropolitan County","Metropolitan County","106",53.4769,-1.3211
239,"GBR","United Kingdom",1,"England",87,"Southampton","","","Unitary Authority (city)","Unitary Authority (city)","107",50.9088,-1.3683
239,"GBR","United Kingdom",1,"England",88,"Southend-on-Sea","","Southend","Unitary Authority","Unitary Authority","108",51.6225,0.7971
239,"GBR","United Kingdom",1,"England",89,"Southwark","","","London Borough","London Borough","109",51.4700,-0.0661
239,"GBR","United Kingdom",1,"England",90,"Staffordshire","","","Administrative County","Administrative County","110",52.8445,-2.0225
239,"GBR","United Kingdom",1,"England",91,"Stockton-on-Tees","","Stockton","Unitary Authority","Unitary Authority","111",54.5484,-1.3384
239,"GBR","United Kingdom",1,"England",92,"Stoke-on-Trent","","","Unitary Authority (city)","Unitary Authority (city)","112",53.0114,-2.1688
239,"GBR","United Kingdom",1,"England",93,"Suffolk","","","Administrative County","Administrative County","113",52.2134,1.0625
239,"GBR","United Kingdom",1,"England",94,"Surrey","","","Administrative County","Administrative County","114",51.2438,-0.4141
239,"GBR","United Kingdom",1,"England",95,"Sutton","","","London Borough","London Borough","115",51.3584,-0.1705
239,"GBR","United Kingdom",1,"England",96,"Swindon","","Thamesdown","Unitary Authority","Unitary Authority","116",51.5497,-1.7239
239,"GBR","United Kingdom",1,"England",97,"Telford and Wrekin","","The Wrekin, Wrekin","Unitary Authority","Unitary Authority","117",52.7223,-2.4731
239,"GBR","United Kingdom",1,"England",98,"Thurrock","","","Unitary Authority","Unitary Authority","118",51.5026,0.3697
239,"GBR","United Kingdom",1,"England",99,"Torbay","","","Unitary Authority","Unitary Authority","119",50.4850,-3.6247
239,"GBR","United Kingdom",1,"England",100,"Tower Hamlets","","","London Borough","London Borough","120",51.5116,-0.0264
239,"GBR","United Kingdom",1,"England",101,"Tyne and Wear","","","Metropolitan County","Metropolitan County","121",54.9460,-1.5613
239,"GBR","United Kingdom",1,"England",102,"Waltham Forest","","","London Borough","London Borough","122",51.5929,-0.0061
239,"GBR","United Kingdom",1,"England",103,"Wandsworth","","","London Borough","London Borough","123",51.4480,-0.1793
239,"GBR","United Kingdom",1,"England",104,"Warrington","","","Unitary Authority","Unitary Authority","124",53.3880,-2.5514
