country,overall,male,female,isoalpha3
South African Republic,202,254.8,170.1,???
Spain,241.4,309.9,187,ESP
Sri Lanka,111,107.2,116.1,LKA
Sudan,81.5,81.6,82.2,SDN
Suriname,144.5,152.4,143.1,SUR
Swaziland,103.1,108.1,101.4,SWZ
Sweden,252.1,269.6,241.2,SWE
Switzerland,269.3,313.2,236,CHE
Syrian Arab Republic,72.2,76.6,69.3,SYR
"Taiwan, China",244.1,282.3,208.5,???
Tajikistan,98.3,93.2,103.7,TJK
Tanzania,87.2,84.1,91.1,???
Thailand,150.5,146,156.1,THA
The Gambia,91.3,91.7,91.5,???
The Netherlands,286.8,306.3,276.5,???
Timor-Leste,123.3,129.7,118.2,TLS
Togo,101.5,89.2,114.8,TGO
Trinidad and Tobago,153.4,206.9,121,TTO
Tunisia,121.9,143.1,102.8,TUN
Turkey,144.8,182.3,112.8,TUR
Turkmenistan,132.6,143.4,124.8,TKM
Uganda,171.9,156.9,186.8,UGA
Ukraine,191.9,231.1,173,UKR
United Arab Emirates,88.8,80.5,120.3,ARE
United Kingdom,266.9,280,260.5,GBR
United States of America,300.2,335,274.4,???
Uruguay,280.3,354.4,230.7,URY
Uzbekistan,89.2,88.3,91.2,UZB
Vanuatu,113.9,100.8,126.6,VUT
Venezuela,152.6,150.4,157.5,???
Viet Nam,138.7,154.4,127.7,VNM
Western Sahara,109.8,97.7,125.4,ESH
Yemen,89.8,84.6,95.8,YEM
Zambia,140.8,137.3,144.7,ZMB
Zimbabwe,159.1,156,159.6,ZWE
